round,agreement,certainty,effective_consensus,effective_consensus_ma,consensus_attainment_rate
1,0.985482826697263,0.014871428363736339,0.01465553726092074,,0.0
2,0.9578884785763455,0.04308285798208733,0.041268573285182394,,0.0
3,0.9466614895352401,0.05433418050724481,0.05143607625166498,,0.0
4,0.9280968405321195,0.07488816765611261,0.06950347179487777,,0.0
5,0.9142205514261372,0.08804754329133457,0.08049487357952058,,0.0
6,0.9238348624072193,0.0798061723186847,0.07372772422327892,,0.0
7,0.9074737555569782,0.10049825851262395,0.09119953207938691,,0.0
8,0.7949085670340436,0.23519983423507362,0.18696236319844695,,0.0
9,0.8819230631090502,0.18572076266091042,0.16379142388885903,,0.0
10,0.8638032049458081,0.20317692739525883,0.17550488105506634,0.09485444566172047,0.09485444566172047
11,0.8494343389800679,0.23709854570185018,0.20139964644138653,0.11352885657976705,0.11352885657976705
12,0.8064962833840309,0.30829669615876265,0.2486401396316179,0.13426601321441062,0.13426601321441062
13,0.8349406830916202,0.4952502262762053,0.4135045622283343,0.17047286181207752,0.17047286181207752
14,0.8421761631777694,0.3171907701306249,0.26713050578401154,0.19023556521099091,0.19023556521099091
15,0.8463665366078806,0.389321992145771,0.32950910611769674,0.2151369884648085,0.2151369884648085
16,0.7956459791995959,0.3890631678796199,0.30955654517807696,0.23871987056028832,0.23871987056028832
17,0.8776545646094659,0.23155039218718743,0.20322125864019705,0.24992204321636935,0.24992204321636935
18,0.8187973389246703,0.3408891959194238,0.2791191664869948,0.25913772354522413,0.25913772354522413
19,0.92643058068296,0.3486709059630463,0.32301938987859874,0.2750605201441981,0.2750605201441981
20,0.9000589722450895,0.5641615712093183,0.5077786839628339,0.30828790043497484,0.30828790043497484
21,0.9482133509837474,0.7681844337758699,0.7284027361241702,0.3609882094032532,0.3609882094032532
22,0.822357132964615,0.43270273474015875,0.35583618036686526,0.37170781347677795,0.37170781347677795
23,0.7292869867326081,0.5804037204443498,0.42328088037125494,0.37268544529107006,0.37268544529107006
24,0.8944654186734777,0.608946256195672,0.5446813679977086,0.40044053151243975,0.40044053151243975
25,0.9369524524627062,0.769713559224704,0.7211850070093848,0.4396081216016086,0.4396081216016086
26,0.841266834027972,0.4125875436882761,0.3470962166380136,0.44336208874760225,0.44336208874760225
27,0.9636988490047766,0.7421002254075904,0.7151611330714801,0.49455607619073055,0.49455607619073055
28,0.8502459342574473,0.5292191798201353,0.44996645597313095,0.5116408051393442,0.5116408051393442
29,0.916800481773708,0.5409585254269375,0.49595103673101093,0.5289339698245854,0.5289339698245854
30,0.8733658685419942,0.5588934981472987,0.48811850543188895,0.5269679519714909,0.5289339698245854
31,0.8397804491554335,0.48634841082540736,0.4084258868889919,0.49497026704797303,0.5289339698245854
32,0.899901105654894,0.5274032052922957,0.47461072756847195,0.5068477217681338,0.5289339698245854
33,0.812540664147046,0.6853505798634758,0.5568752153358317,0.5202071552645914,0.5289339698245854
34,0.9218976843126977,0.7189052530695093,0.6627570880450145,0.5320147272693219,0.5320147272693219
35,0.8908403489890973,0.690923072375943,0.6155021509200044,0.5214464416603839,0.5320147272693219
36,0.82945302530996,0.47196646961012434,0.39147401606297894,0.5258842216028805,0.5320147272693219
37,0.8013826412649838,0.5034828057290961,0.40348238068668774,0.49471634636440126,0.5320147272693219
38,0.9311956512004523,0.7930822087705558,0.7385147038515908,0.5235711711522473,0.5320147272693219
39,0.9463643023712712,0.8385516242820514,0.79357532291598,0.5533335997707441,0.5533335997707441
40,0.8732038320981426,0.562638726183039,0.4912982917898472,0.5536515784065399,0.5536515784065399
41,0.9211239832383564,0.7147896837168224,0.6584099206429244,0.5786499817819332,0.5786499817819332
42,0.8744486214064937,0.6587386017267486,0.5760330621471966,0.5887922152398056,0.5887922152398056
43,0.9187387740299756,0.2620768341870632,0.24078014934267963,0.5571827086404905,0.5887922152398056
44,0.7975269119686146,0.4517891293296151,0.360313989175237,0.5269383987535128,0.5887922152398056
45,0.9341800821450567,0.5758586989339852,0.5379557266740957,0.5191837563289218,0.5887922152398056
46,0.8885710926170969,0.8221102531805328,0.7305034059203441,0.5530866953146584,0.5887922152398056
47,0.8908120299469908,0.6741669605792315,0.6005560386767782,0.5727940611136675,0.5887922152398056
48,0.8143273824003737,0.5205541957098994,0.4239015355899742,0.5413327442875058,0.5887922152398056
49,0.8884006709724845,0.5913633785435388,0.5253676222866352,0.5145119742245713,0.5887922152398056
50,0.8879028099040828,0.8234514082281272,0.7311448191852281,0.5384966269641094,0.5887922152398056
51,0.8358094512305742,0.622451189947392,0.5202505874877476,0.5246806936485917,0.5887922152398056
52,0.8573243056938025,0.762848756341024,0.6540087803794491,0.532478265471817,0.5887922152398056
53,0.8930749708859138,0.7265157837169993,0.6488330623912161,0.5732835567766706,0.5887922152398056
54,0.8941753021828976,0.6212549250163382,0.5555108103090975,0.5928032388900567,0.5928032388900567
55,0.9224981855792009,0.5810051328339441,0.535976180851516,0.5926052843077987,0.5928032388900567
56,0.970427958015462,0.9568442201581783,0.9285483827069981,0.6124097819864641,0.6124097819864641
57,0.8734398587338589,0.6479364465224704,0.5659335183191051,0.6089475299506968,0.6124097819864641
58,0.998989397498655,0.9903984253853586,0.989397526259336,0.6654971290176329,0.6654971290176329
59,0.9414124239747689,0.3825001978005358,0.360090438382231,0.6489694106271925,0.6654971290176329
60,0.9125366576422859,0.6718585297330382,0.613095537131047,0.6371644824217744,0.6654971290176329
