epoch,client_count,active_client_count,active_edge_count,client_vote_consensus_ratio,active_client_vote_consensus_ratio,within_edge_vote_consensus_ratio,edge_vote_consensus_ratio,client_vote_entropy_norm,client_label_consensus_score,active_client_vote_entropy_norm,active_client_label_consensus_score,edge_vote_entropy_norm,edge_label_consensus_score,client_probability_divergence_gjs,client_probability_consensus_score,active_client_probability_divergence_gjs,active_client_probability_consensus_score,within_edge_probability_divergence_gjs,within_edge_probability_consensus_score,edge_probability_divergence_gjs,edge_probability_consensus_score,client_cloud_js_divergence,client_cloud_alignment_score,edge_cloud_js_divergence,edge_cloud_alignment_score,client_cloud_label_agreement,edge_cloud_label_agreement,majority_cloud_label_match,client_mean_confidence,cloud_confidence,cloud_entropy_norm,cloud_margin,majority_label,cloud_predicted_label,true_label,soft_consensus,strong_consensus,cloud_correct,correct_soft_consensus,wrong_soft_consensus,correct_strong_consensus,wrong_strong_consensus,train_acc,train_loss,test_acc,test_loss
1,37,32,6,0.4864864865,0.5312500000,0.5312500000,0.8333333333,0.7104844587,0.2895155413,0.6750432481,0.3249567519,0.1956762468,0.8043237532,0.0003695278,0.9996304722,0.0003631609,0.9996368391,0.0003277876,0.9996722124,0.0000982590,0.9999017410,0.0003036040,0.9996963960,0.0000860555,0.9999139445,0.4864864865,0.8333333333,1,0.1122655401,0.1097236616,0.9995044184,0.0063601354,6,6,,0,0,,,,,,0.0986333333,2.3038496915,0.0958000000,2.3041975221
2,37,37,6,0.2702702703,0.2702702703,0.3243243243,0.3333333333,0.8657547670,0.1342452330,0.8657547670,0.1342452330,0.6778079185,0.3221920815,0.0029893990,0.9970106010,0.0029893990,0.9970106010,0.0027226316,0.9972773684,0.0015297519,0.9984702481,0.0024076118,0.9975923882,0.0012802497,0.9987197503,0.2702702703,0.3333333333,1,0.1247216347,0.1112759676,0.9994644030,0.0074304122,6,6,,0,0,,,,,,0.0995833333,2.2999819843,0.0970000000,2.3002910172
3,37,37,6,0.2432432432,0.2432432432,0.2972972973,0.3333333333,0.9364557778,0.0635442222,0.9364557778,0.0635442222,0.5774645866,0.4225354134,0.0091406724,0.9908593276,0.0091406724,0.9908593276,0.0078294988,0.9921705012,0.0021468093,0.9978531907,0.0068800827,0.9931199173,0.0017793720,0.9982206280,0.2432432432,0.3333333333,1,0.1443272284,0.1105802142,0.9994349047,0.0069213440,6,6,,0,0,,,,,,0.1035833333,2.2956114944,0.1025000000,2.2957037528
